,0,1,2
0,ang,setx,1
1,c9orf72,hxliur,12
2,c9orf72,NKX6.1,30
3,c9orf72,hxaxtr,2
4,c9orf72,ISL1,30
5,c9orf72,hxblbsw,5
6,c9orf72,NEFH (SMI32),30
7,c9orf72,hxli,27
8,c9orf72,hxblb,23
9,c9orf72,hxliuarm,4
10,c9orf72,hxlill,9
11,c9orf72,TUBB3 (TuJ1),30
12,c9orf72,mutot,2
13,c9orf72,hxlilft,13
14,c9orf72,hxlilr,9
15,c9orf72,hxliuhnd,17
16,c9orf72,hxliul,10
17,c9orf72,hxax,2
18,c9orf72,s100b,30
19,c9orf72,hxaxtrrp,2
20,c9orf72,pavyn,3
21,c9orf72,hxlil,14
22,c9orf72,hxlilleg,3
23,c9orf72,hxblbsch,22
24,c9orf72,trachrsn,3
25,c9orf72,hxliu,17
26,c9orf72,Nestin,22
27,fus,hxliu,1
28,fus,hxliur,1
29,fus,hxax,1
30,fus,pavyn,1
31,fus,hxli,1
32,fus,hxliuarm,1
33,fus,mutot,1
34,fus,hxaxnk,1
35,mutot,hxliur,2
36,mutot,NKX6.1,2
37,mutot,ISL1,2
38,mutot,hxli,8
39,mutot,NEFH (SMI32),2
40,mutot,hxblb,1
41,mutot,hxliuarm,1
42,mutot,hxlill,3
43,mutot,TUBB3 (TuJ1),2
44,mutot,hxlilft,1
45,mutot,hxlilr,3
46,mutot,s100b,2
47,mutot,pavyn,1
48,mutot,hxlil,6
49,mutot,sod1,1
50,mutot,hxlilleg,3
51,mutot,hxblbsch,1
52,mutot,hxliu,2
53,mutot,Nestin,2
54,setx,hxliur,1
55,setx,NKX6.1,2
56,setx,ISL1,2
57,setx,hxli,4
58,setx,NEFH (SMI32),2
59,setx,hxliuarm,1
60,setx,hxlill,3
61,setx,TUBB3 (TuJ1),2
62,setx,hxlilft,3
63,setx,hxaxnk,1
64,setx,hxliuhnd,1
65,setx,hxliul,1
66,setx,hxlilr,4
67,setx,hxax,1
68,setx,s100b,1
69,setx,hxlil,4
70,setx,sod1,1
71,setx,hxlilleg,3
72,setx,hxliu,1
73,setx,Nestin,1
74,sod1,hxliur,4
75,sod1,NKX6.1,10
76,sod1,hxaxtr,1
77,sod1,ISL1,10
78,sod1,hxli,15
79,sod1,NEFH (SMI32),10
80,sod1,hxliuarm,2
81,sod1,hxlill,3
82,sod1,TUBB3 (TuJ1),10
83,sod1,hxlilft,4
84,sod1,hxlilr,10
85,sod1,hxliuhnd,4
86,sod1,hxliul,3
87,sod1,hxax,1
88,sod1,hxaxtrrp,1
89,sod1,s100b,10
90,sod1,pavyn,1
91,sod1,hxlil,11
92,sod1,hxlilleg,6
93,sod1,trachrsn,1
94,sod1,hxliu,6
95,sod1,Nestin,10
96,tdp43,hxliur,2
97,tdp43,NKX6.1,1
98,tdp43,ISL1,1
99,tdp43,hxblbsw,1
